Name,Time,Date 
FIXEDRAMAN,22:48:08,17/04/2025
HARSHIT,22:48:51,17/04/2025
RAMAN,09:15:20,21/04/2025
HRITHIK ROSHAN_97,20:40:08,22/04/2025
HENRY CAVILL_67,20:40:09,22/04/2025
HRITHIK ROSHAN_91,20:40:10,22/04/2025
HRITHIK ROSHAN_9,20:40:11,22/04/2025
MARMIK_10,20:40:11,22/04/2025
HENRY CAVILL_65,20:40:13,22/04/2025
HRITHIK ROSHAN_93,20:40:23,22/04/2025
ELLEN DEGENERES_43,20:40:33,22/04/2025
CHARLIZE THERON_74,20:40:50,22/04/2025
HENRY CAVILL_51,20:40:50,22/04/2025
ALEXANDRA DADDARIO_73,20:40:51,22/04/2025
ALEXANDRA DADDARIO_75,20:40:52,22/04/2025
ALEXANDRA DADDARIO_74,20:40:52,22/04/2025
HENRY CAVILL_17,20:40:53,22/04/2025
ALEXANDRA DADDARIO_69,20:40:54,22/04/2025
ALEXANDRA DADDARIO_79,20:40:55,22/04/2025
ALEXANDRA DADDARIO_70,20:40:56,22/04/2025
ALEXANDRA DADDARIO_91,20:40:57,22/04/2025
ALEXANDRA DADDARIO_7,20:40:57,22/04/2025
ALIA BHATT_16,20:40:59,22/04/2025
ALEXANDRA DADDARIO_83,20:40:59,22/04/2025
ALIA BHATT_2,20:41:12,22/04/2025
ALEXANDRA DADDARIO_85,20:41:13,22/04/2025
ALIA BHATT_37,20:41:14,22/04/2025
ALIA BHATT_17,20:41:17,22/04/2025
ALIA BHATT_12,20:42:47,22/04/2025
ANDY SAMBERG_14,20:42:48,22/04/2025
ALEXANDRA DADDARIO_84,20:42:49,22/04/2025
AMITABH BACHCHAN_65,20:42:50,22/04/2025
AMITABH BACHCHAN_67,20:42:52,22/04/2025
ALIA BHATT_34,20:42:53,22/04/2025
ALIA BHATT_18,20:42:53,22/04/2025
ALIA BHATT_22,20:42:55,22/04/2025
ALEXANDRA DADDARIO_76,20:42:59,22/04/2025
ALIA BHATT_66,20:43:43,22/04/2025
MARGOT ROBBIE_69,20:43:43,22/04/2025
MARMIK_12,20:43:44,22/04/2025
MARMIK_1,20:43:48,22/04/2025
MARGOT ROBBIE_71,20:43:50,22/04/2025
MARGOT ROBBIE_68,20:43:57,22/04/2025
HENRY CAVILL_6,20:44:57,22/04/2025
NATALIE PORTMAN_20,20:44:57,22/04/2025
MARMIK_16,20:45:03,22/04/2025
MARMIK_18,20:45:04,22/04/2025
MARMIK_0,20:45:08,22/04/2025
MARGOT ROBBIE_8,20:45:27,22/04/2025
HRITHIK ROSHAN_90,20:45:37,22/04/2025
HRITHIK ROSHAN_98,20:45:38,22/04/2025
HRITHIK ROSHAN_35,20:58:30,22/04/2025
HENRY CAVILL_7,20:58:37,22/04/2025
HRITHIK ROSHAN_37,20:58:44,22/04/2025
JESSICA ALBA_103,20:58:54,22/04/2025
MARMIK_15,20:59:07,22/04/2025
MARGOT ROBBIE_70,20:59:24,22/04/2025
COURTNEY COX_78,20:59:25,22/04/2025
CLAIRE HOLT_4,20:59:36,22/04/2025
HENRY CAVILL_5,21:00:18,22/04/2025
AKSHAY KUMAR_5,21:01:00,22/04/2025
MARMIK_13,21:01:10,22/04/2025
MARMIK_14,21:01:14,22/04/2025
HENRY CAVILL_2,21:01:57,22/04/2025
HENRY CAVILL_0,21:01:58,22/04/2025
ALEXANDRA DADDARIO_81,21:02:00,22/04/2025
ROHIT SHARMA,22:38:30,22/04/2025
VIRAT,22:38:35,22/04/2025
MS DHONI,22:39:18,22/04/2025
